month_year,week,date,breakfast_items,breakfast_kg,lunch_items,lunch_kg,dinner_items,dinner_kg
Aug2023,week1,01/08/2023,Medu Vada;Aloo Paratha;Upma,60.44;46.41;76.73,Rice;Rajma;Dal Tadka,261.84;242.73;206.24,Roti;Paneer Tikka;Bhindi Fry,295.29;232.32;305.93
Aug2023,week1,02/08/2023,Dosa;Puri;Chole Bhature,86.30;74.68;58.25,Rice;Rasam;Palak Paneer,283.12;297.26;205.83,Roti;Tandoori Roti;Dal Makhani,304.42;345.45;311.08
Aug2023,week1,03/08/2023,Puri;Idli;Upma,71.38;88.83;77.25,Rice;Chole;Palak Paneer,236.56;314.17;201.09,Roti;Chana Masala;Shahi Paneer,285.72;349.99;297.46
Aug2023,week1,04/08/2023,Upma;Aloo Paratha;Idli,74.89;46.91;91.03,Rice;Rasam;Mixed Vegetables,263.46;258.31;208.85,Roti;Bhindi Fry;Paneer Tikka,232.86;286.10;308.68
Aug2023,week1,05/08/2023,Puri;Dosa;Poha,77.08;86.35;59.59,Rice;Mixed Vegetables;Palak Paneer,279.17;311.53;204.41,Roti;Bhindi Fry;Paneer Tikka,238.13;301.51;295.67
Aug2023,week1,06/08/2023,Chole Bhature;Poha;Puri,58.82;57.61;77.54,Rice;Rasam;Mixed Vegetables,269.61;262.00;216.59,Roti;Aloo Gobi;Paneer Butter Masala,263.14;367.23;302.20
Aug2023,week1,07/08/2023,Puri;Dosa;Medu Vada,72.17;89.01;61.41,Rice;Sambar;Chole,300.98;234.17;219.70,Roti;Paneer Butter Masala;Tandoori Roti,346.48;305.71;310.49
Aug2023,week2,08/08/2023,Dosa;Poha;Chole Bhature,90.83;59.34;59.24,Rice;Rasam;Curd Rice,274.41;299.76;209.71,Roti;Chana Masala;Bhindi Fry,286.45;251.12;302.72
Aug2023,week2,09/08/2023,Aloo Paratha;Dosa;Medu Vada,45.48;92.39;62.61,Rice;Sambar;Curd Rice,297.00;285.76;204.21,Roti;Aloo Gobi;Tandoori Roti,282.27;296.89;307.98
Aug2023,week2,10/08/2023,Samosa;Upma;Medu Vada,76.76;71.87;62.36,Rice;Palak Paneer;Rajma,298.15;278.20;216.87,Roti;Paneer Tikka;Paneer Butter Masala,296.16;346.13;301.47
Aug2023,week2,11/08/2023,Dosa;Puri;Aloo Paratha,91.53;72.85;46.61,Rice;Rajma;Curd Rice,269.77;314.69;213.79,Roti;Paneer Butter Masala;Paneer Tikka,365.15;295.47;313.78
Aug2023,week2,12/08/2023,Dosa;Puri;Upma,89.78;71.92;71.40,Rice;Rasam;Rajma,272.32;261.90;199.73,Roti;Chana Masala;Tandoori Roti,287.09;314.77;306.71
